"Totale reizigerskilometers in Nederland per jaar; vervoerwijzen, regio's"
"";"Onderwerpen";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers"
"";"Perioden";"2010";"2011";"2012";"2013";"2014";"2015"
"Vervoerwijzen";"Regio's";"mld km";"mld km";"mld km";"mld km";"mld km";"mld km"
"Totaal";"Nederland";"193.6";"198.5";"193.0";"199.5";"201.0";"192.5"
"Totaal";"Groningen (PV)";"7.9";"8.1";"7.5";"7.2";"7.3";"7.2"
"Totaal";"Friesland (PV)";"8.1";"7.4";"8.0";"8.2";"8.5";"7.7"
"Totaal";"Drenthe (PV)";"6.7";"6.6";"6.3";"7.1";"6.8";"6.8"
"Totaal";"Overijssel (PV)";"13.3";"13.8";"13.3";"13.3";"14.0";"12.9"
"Totaal";"Flevoland (PV)";"5.7";"5.4";"5.5";"5.1";"5.4";"5.8"
"Totaal";"Gelderland (PV)";"25.3";"25.0";"23.4";"24.3";"26.2";"25.1"
"Totaal";"Utrecht (PV)";"14.3";"14.7";"15.6";"16.0";"16.4";"15.1"
"Totaal";"Noord-Holland (PV)";"29.8";"31.9";"29.3";"30.9";"31.0";"29.5"
"Totaal";"Zuid-Holland (PV)";"36.8";"38.4";"38.8";"38.4";"38.9";"38.0"
"Totaal";"Zeeland (PV)";"4.8";"4.6";"4.8";"5.0";"4.6";"4.1"
"Totaal";"Noord-Brabant (PV)";"28.5";"30.3";"29.0";"31.4";"30.3";"28.7"
"Totaal";"Limburg (PV)";"12.2";"12.2";"11.4";"12.7";"11.7";"11.7"
"Auto (bestuurder)";"Nederland";"95.4";"100.5";"96.7";"99.2";"99.3";"97.3"
"Auto (bestuurder)";"Groningen (PV)";"3.6";"4.1";"3.7";"3.2";"3.4";"3.4"
"Auto (bestuurder)";"Friesland (PV)";"4.1";"4.2";"4.3";"4.3";"4.7";"3.9"
"Auto (bestuurder)";"Drenthe (PV)";"3.6";"3.3";"3.6";"3.8";"3.5";"3.8"
"Auto (bestuurder)";"Overijssel (PV)";"7.0";"7.7";"7.1";"7.3";"6.8";"6.6"
"Auto (bestuurder)";"Flevoland (PV)";"2.8";"2.8";"2.9";"2.7";"2.7";"3.0"
